state,year,dengueCases,zikaCases,chikvCases,pop_tot,disease,incidence
AC,2016,2195,1523,98,816687,Dengue,268.76881840901103
AC,2016,2195,1523,98,816687,Zika,186.4851528186441
AC,2016,2195,1523,98,816687,Chikungunya,11.999701231928512
AC,2017,1861,293,51,829619,Dengue,224.31983838364357
AC,2017,1861,293,51,829619,Zika,35.31741679011691
AC,2017,1861,293,51,829619,Chikungunya,6.1474001921363906
AC,2018,7256,355,115,869265,Dengue,834.7281899075656
AC,2018,7256,355,115,869265,Zika,40.839099699171136
AC,2018,7256,355,115,869265,Chikungunya,13.229567508182202
AC,2019,10043,149,6,881935,Dengue,1138.7460527136354
AC,2019,10043,149,6,881935,Zika,16.894669108267617
AC,2019,10043,149,6,881935,Chikungunya,0.680322245970508
AC,2020,7557,301,89,894470,Dengue,844.8578487819602
AC,2020,7557,301,89,894470,Zika,33.651212449830624
AC,2020,7557,301,89,894470,Chikungunya,9.950026272541281
AC,2021,14840,617,300,906876,Dengue,1636.386893026169
AC,2021,14840,617,300,906876,Zika,68.03576233134409
AC,2021,14840,617,300,906876,Chikungunya,33.08059756791447
AC,2022,3404,97,54,906876,Dengue,375.3545137372695
AC,2022,3404,97,54,906876,Zika,10.696059880292344
AC,2022,3404,97,54,906876,Chikungunya,5.954507562224604
AC,2023,7141,898,40,906876,Dengue,787.4284907749241
AC,2023,7141,898,40,906876,Zika,99.02125538662396
AC,2023,7141,898,40,906876,Chikungunya,4.410746342388596
AC,2024,6322,939,317,880631,Dengue,717.8943280443228
AC,2024,6322,939,317,880631,Zika,106.62808826852564
AC,2024,6322,939,317,880631,Chikungunya,35.996915847840924
AC,2025,7838,1254,22,884372,Dengue,886.2786248320842
AC,2025,7838,1254,22,884372,Zika,141.79553400605175
AC,2025,7838,1254,22,884372,Chikungunya,2.487640947474592
AL,2016,19454,8158,2005,3358963,Dengue,579.1668440527627
AL,2016,19454,8158,2005,3358963,Zika,242.87257704237885
AL,2016,19454,8158,2005,3358963,Chikungunya,59.69104155062143
AL,2017,2937,363,192,3375823,Dengue,87.00100686558507
AL,2017,2937,363,192,3375823,Zika,10.752933432825122
AL,2017,2937,363,192,3375823,Chikungunya,5.6875019809984115
AL,2018,2210,446,523,3322820,Dengue,66.50977182032129
AL,2018,2210,446,523,3322820,Zika,13.422334041567105
AL,2018,2210,446,523,3322820,Chikungunya,15.739642833496848
AL,2019,21034,1337,863,3337357,Dengue,630.2592141026568
AL,2019,21034,1337,863,3337357,Zika,40.06164159243377
AL,2019,21034,1337,863,3337357,Chikungunya,25.858785859588888
AL,2020,2415,273,189,3351543,Dengue,72.05636329296685
AL,2020,2415,273,189,3351543,Zika,8.145501937465818
AL,2020,2415,273,189,3351543,Chikungunya,5.639193649014797
AL,2021,7576,446,594,3365351,Dengue,225.11767717542688
AL,2021,7576,446,594,3365351,Zika,13.252703804149998
AL,2021,7576,446,594,3365351,Chikungunya,17.65046201718632
AL,2022,33647,1288,1431,3365351,Dengue,999.8065580677915
AL,2022,33647,1288,1431,3365351,Zika,38.27238228642421
AL,2022,33647,1288,1431,3365351,Chikungunya,42.521567586857955
AL,2023,4764,198,173,3365351,Dengue,141.56027112773674
AL,2023,4764,198,173,3365351,Zika,5.883487339062107
AL,2023,4764,198,173,3365351,Chikungunya,5.140622776049215
AL,2024,17949,232,403,3220104,Dengue,557.4043571263537
AL,2024,17949,232,403,3220104,Zika,7.204736244543655
AL,2024,17949,232,403,3220104,Chikungunya,12.51512373513402
AL,2025,1652,175,9,3220848,Dengue,51.29084017625172
AL,2025,1652,175,9,3220848,Zika,5.433351713585988
AL,2025,1652,175,9,3220848,Chikungunya,0.2794295166987079
AM,2016,7586,6035,187,4001667,Dengue,189.57099628729728
AM,2016,7586,6035,187,4001667,Zika,150.81214903688888
AM,2016,7586,6035,187,4001667,Chikungunya,4.673052505368387
AM,2017,3920,702,167,4063614,Dengue,96.46585527070239
AM,2017,3920,702,167,4063614,Zika,17.275262857151297
AM,2017,3920,702,167,4063614,Chikungunya,4.109642303624311
AM,2018,2362,478,9,3995258,Dengue,59.12008686297606
AM,2018,2362,478,9,3995258,Zika,11.96418353958618
AM,2018,2362,478,9,3995258,Chikungunya,0.22526705409262682
AM,2019,3901,126,11,4071080,Dengue,95.8222388162355
AM,2019,3901,126,11,4071080,Zika,3.09500181769948
AM,2019,3901,126,11,4071080,Chikungunya,0.2701985713864626
AM,2020,6088,139,32,4132670,Dengue,147.31396409585088
AM,2020,6088,139,32,4132670,Zika,3.3634430041595382
AM,2020,6088,139,32,4132670,Chikungunya,0.7743178139072319
AM,2021,8307,228,228,3847707,Dengue,215.89481735485575
AM,2021,8307,228,228,3847707,Zika,5.925607121332264
AM,2021,8307,228,228,3847707,Chikungunya,5.925607121332264
AM,2022,5440,357,374,3847707,Dengue,141.38290675459436
AM,2022,5440,357,374,3847707,Zika,9.278253255770254
AM,2022,5440,357,374,3847707,Chikungunya,9.720074839378363
AM,2023,6350,378,388,3847707,Dengue,165.03335623008715
AM,2023,6350,378,388,3847707,Zika,9.824032859050858
AM,2023,6350,378,388,3847707,Chikungunya,10.083927908232097
AM,2024,8693,333,392,4281209,Dengue,203.05011972085455
AM,2024,8693,333,392,4281209,Zika,7.778176678597098
AM,2024,8693,333,392,4281209,Chikungunya,9.156292066096283
AM,2025,4122,350,7,4321616,Dengue,95.3809871122284
AM,2025,4122,350,7,4321616,Zika,8.098822292401731
AM,2025,4122,350,7,4321616,Chikungunya,0.1619764458480346
AP,2016,1815,1035,182,782295,Dengue,232.00966387360265
AP,2016,1815,1035,182,782295,Zika,132.30303146511227
AP,2016,1815,1035,182,782295,Chikungunya,23.264880895314427
AP,2017,921,109,222,797722,Dengue,115.45375456612705
AP,2017,921,109,222,797722,Zika,13.663907977967261
AP,2017,921,109,222,797722,Chikungunya,27.829243771639746
AP,2018,764,125,195,829494,Dengue,92.104343129667
AP,2018,764,125,195,829494,Zika,15.06942786807379
AP,2018,764,125,195,829494,Chikungunya,23.508307474195114
AP,2019,193,121,7,845731,Dengue,22.820494932785955
AP,2019,193,121,7,845731,Zika,14.307149672886533
AP,2019,193,121,7,845731,Chikungunya,0.827686344712444
AP,2020,67,31,23,861773,Dengue,7.774669199429548
AP,2020,67,31,23,861773,Zika,3.5972350027211344
AP,2020,67,31,23,861773,Chikungunya,2.6689162923414864
AP,2021,280,114,116,877613,Dengue,31.904723380351022
AP,2021,280,114,116,877613,Zika,12.989780233428629
AP,2021,280,114,116,877613,Chikungunya,13.217671114716852
AP,2022,293,115,81,877613,Dengue,33.38601410872446
AP,2022,293,115,81,877613,Zika,13.103725674072741
AP,2022,293,115,81,877613,Chikungunya,9.2295806921729735
AP,2023,1229,73,106,877613,Dengue,140.03894655161216
AP,2023,1229,73,106,877613,Zika,8.318017167020086
AP,2023,1229,73,106,877613,Chikungunya,12.078216708275743
