Sigla,State_code,Municipality_code,Muni_names,Pop_estimated,Year,code_muni
RO,11,00015,Alta Floresta D'Oeste,24228,2010,1100015
RO,11,00379,Alto Alegre dos Parecis,12825,2010,1100379
RO,11,00403,Alto Paraíso,17444,2010,1100403
RO,11,00346,Alvorada D'Oeste,16625,2010,1100346
RO,11,00023,Ariquemes,91570,2010,1100023
RO,11,00452,Buritis,32899,2010,1100452
RO,11,00031,Cabixi,6221,2010,1100031
RO,11,00601,Cacaulândia,5764,2010,1100601
RO,11,00049,Cacoal,78959,2010,1100049
RO,11,00700,Campo Novo de Rondônia,12758,2010,1100700
RO,11,00809,Candeias do Jamari,20292,2010,1100809
RO,11,00908,Castanheiras,3527,2010,1100908
RO,11,00056,Cerejeiras,16939,2010,1100056
RO,11,00924,Chupinguaia,8515,2010,1100924
RO,11,00064,Colorado do Oeste,18338,2010,1100064
RO,11,00072,Corumbiara,8655,2010,1100072
RO,11,00080,Costa Marques,14023,2010,1100080
RO,11,00940,Cujubim,16570,2010,1100940
RO,11,00098,Espigão D'Oeste,28963,2010,1100098
RO,11,01005,Governador Jorge Teixeira,10272,2010,1101005
RO,11,00106,Guajará-Mirim,41934,2010,1100106
RO,11,01104,Itapuã do Oeste,8700,2010,1101104
RO,11,00114,Jaru,51883,2010,1100114
RO,11,00122,Ji-Paraná,117363,2010,1100122
RO,11,00130,Machadinho D'Oeste,31780,2010,1100130
RO,11,01203,Ministro Andreazza,10277,2010,1101203
RO,11,01302,Mirante da Serra,11781,2010,1101302
RO,11,01401,Monte Negro,14204,2010,1101401
RO,11,00148,Nova Brasilândia D'Oeste,19883,2010,1100148
RO,11,00338,Nova Mamoré,23143,2010,1100338
RO,11,01435,Nova União,7437,2010,1101435
RO,11,00502,Novo Horizonte do Oeste,10084,2010,1100502
RO,11,00155,Ouro Preto do Oeste,37702,2010,1100155
RO,11,01450,Parecis,4902,2010,1101450
RO,11,00189,Pimenta Bueno,33981,2010,1100189
RO,11,01468,Pimenteiras do Oeste,2299,2010,1101468
RO,11,00205,Porto Velho,435732,2010,1100205
RO,11,00254,Presidente Médici,22009,2010,1100254
RO,11,01476,Primavera de Rondônia,3464,2010,1101476
RO,11,00262,Rio Crespo,3346,2010,1100262
RO,11,00288,Rolim de Moura,50899,2010,1100288
RO,11,00296,Santa Luzia D'Oeste,8678,2010,1100296
RO,11,01484,São Felipe D'Oeste,5939,2010,1101484
RO,11,01492,São Francisco do Guaporé,16341,2010,1101492
RO,11,00320,São Miguel do Guaporé,21879,2010,1100320
RO,11,01500,Seringueiras,11624,2010,1101500
RO,11,01559,Teixeirópolis,4832,2010,1101559
RO,11,01609,Theobroma,10612,2010,1101609
RO,11,01708,Urupá,12828,2010,1101708
RO,11,01757,Vale do Anari,9511,2010,1101757
RO,11,01807,Vale do Paraíso,8084,2010,1101807
RO,11,00304,Vilhena,77937,2010,1100304
AC,12,00013,Acrelândia,12779,2010,1200013
AC,12,00054,Assis Brasil,6192,2010,1200054
AC,12,00104,Brasiléia,21837,2010,1200104
