"municipality_code","year","total_cases","total_population","incidence_per_100k"
110009,2012,1,29278,3.416
110010,2023,1,42651,2.345
110013,2018,1,31530,3.172
110015,2020,1,39163,2.553
110020,2015,1,433455,0.231
110020,2018,2,433455,0.461
110045,2021,1,33073,3.024
110045,2022,1,33073,3.024
120001,2020,2,12913,15.488
120032,2024,1,6692,14.943
120040,2018,1,352930,0.283
120040,2023,2,352930,0.567
120045,2024,1,20978,4.767
130010,2013,1,16463,6.074
130030,2017,7,32402,21.604
130083,2018,1,11080,9.025
130130,2019,2,23415,8.542
130130,2023,1,23415,4.271
130170,2012,2,44635,4.481
130170,2023,2,44635,4.481
130200,2016,4,8323,48.06
130250,2023,2,86725,2.306
130250,2024,2,86725,2.306
130260,2015,2,1845074,0.108
130260,2017,6,1845074,0.325
130260,2022,2,1845074,0.108
130260,2023,1,1845074,0.054
130260,2024,2,1845074,0.108
130270,2022,2,47504,4.21
130280,2023,3,17748,16.903
140010,2014,1,298724,0.335
140010,2023,1,298724,0.335
140010,2024,5,298724,1.674
150010,2015,2,143220,1.396
150010,2017,1,143220,0.698
150010,2019,1,143220,0.698
150010,2021,2,143220,1.396
150020,2013,1,54717,1.828
150020,2016,1,54717,1.828
150030,2015,3,35602,8.426
150030,2016,2,35602,5.618
150030,2018,1,35602,2.809
150030,2021,3,35602,8.426
150034,2022,1,25762,3.882
150040,2017,10,52761,18.953
150060,2015,1,99881,1.001
150060,2022,1,99881,1.001
150070,2018,1,24784,4.035
150080,2015,3,480903,0.624
150080,2016,1,480903,0.208
150080,2017,1,480903,0.208
150080,2018,1,480903,0.208
150080,2019,2,480903,0.416
150080,2022,1,480903,0.208
150090,2020,1,41214,2.426
150100,2017,2,16026,12.48
150110,2017,1,23576,4.242
150110,2021,1,23576,4.242
150130,2015,1,99823,1.002
150130,2023,1,99823,1.002
150140,2015,8,1435537,0.557
150140,2016,1,1435537,0.07
150140,2017,3,1435537,0.209
150140,2018,5,1435537,0.348
150140,2019,9,1435537,0.627
150140,2020,4,1435537,0.279
150140,2021,7,1435537,0.488
150140,2022,4,1435537,0.279
150140,2023,1,1435537,0.07
150140,2024,4,1435537,0.279
150150,2016,1,51804,1.93
150150,2018,1,51804,1.93
150150,2019,1,51804,1.93
150150,2020,1,51804,1.93
150180,2018,2,94064,2.126
150180,2019,3,94064,3.189
150180,2021,1,94064,1.063
150180,2024,3,94064,3.189
150200,2022,1,20492,4.88
150210,2022,6,122649,4.892
150210,2023,1,122649,0.815
150210,2024,3,122649,2.446
150230,2014,1,52903,1.89
150230,2018,1,52903,1.89
150240,2019,1,175742,0.569
150240,2022,1,175742,0.569
150240,2023,1,175742,0.569
150240,2024,2,175742,1.138
150260,2018,1,11570,8.643
150260,2024,1,11570,8.643
150280,2020,1,28689,3.486
150310,2015,3,29399,10.204
150310,2019,1,29399,3.401
150320,2020,1,36638,2.729
150320,2024,1,36638,2.729
150330,2021,2,59175,3.38
150350,2014,1,32171,3.108
150380,2019,1,52513,1.904
150390,2017,1,47392,2.11
150405,2018,2,28356,7.053
150442,2015,1,109411,0.914
